Saving_Range,Range, Males, Females, Total, Saving
<1-1.000,"<10,000",296307,277114,573421,259876577
"1,001-2,000","<10,000",277802,239718,517520,779604362
"2,001 -3.000","<10,000",192028,150678,342706,842899711
"3,001-4,000","<10,000",130501,108798,239299,833435665
"4,001 -5,000","<10,000",103574,89549,193123,866077896
"5,001 -6.000","<10,000",87309,76366,163675,898758977
"6,001-7.000","<10,000",77382,68392,145774,946466998
"7,001 -8.000","<10,000",68274,61068,129342,969105816
"8,001-9,000","<10,000",62445,54934,117379,996866871
"9,001-10,000","<10,000",56599,49878,106477,1010947999
"10,001-15,000","10,000-50,000",238696,207718,446414,5527731452
"15,001-20,000","10,000-50,000",185021,161693,346714,6036093533
"20,001-25.000","10,000-50,000",154183,132460,286643,6429631038
"25,001-30.000","10,000-50,000",133220,114472,247692,6798626535
"30,001-35.000","10,000-50,000",118523,101327,219850,7133140402
"35,001 40.000","10,000-50,000",106398,90373,196771,7371090134
"40,001-45.000","10,000-50,000",97087,81438,178525,7580137980
"45.001 50,000","10,000-50,000",89316,74103,163419,7757586010
50.001 55.000,"50,000-100,000",83324,68506,151830,7966767590
"55,001-60.000","50,000-100,000",78054,63309,141363,8125731379
"60,001 -65.000","50,000-100,000",73047,58432,131479,8213460147
"65,001-70,000","50,000-100,000",67642,53702,121344,8187371077
"70,001-75.000","50,000-100,000",64155,50347,114502,8297912767
"75,001-80,000","50,000-100,000",60473,47082,107555,8332898396
"80,001-85,000","50,000-100,000",56656,44118,100774,8311475032
"85,001-90,000","50,000-100,000",53575,41391,94966,8307074971
"90.001 -95,000","50,000-100,000",50993,38781,89774,8301432795
"95.001-100,000","50,000-100,000",48446,36618,85064,8292008273
"100,001-150.000","100,000-250,000",364193,276658,640851,78656648674
"150,001-200,000","100,000-250,000",216507,167079,383586,66364803179
"200.001-250,000","100,000-250,000",134555,107564,242119,54018351675
"250,001-300.000","250,000-500,000",85506,71972,157478,43036053666
"300,001 -350,000","250,000-500,000",58315,49904,108219,35011197439
"350.001 400,000","250,000-500,000",41847,35281,77128,28829865880
"400.001 -450,000","250,000-500,000",31817,25922,57739,24467530335
"450.001-500,000","250,000-500,000",24152,19494,43646,20684526033
"500,001 -600,000","500,000-1,000,000",35158,26901,62059,33896757371
"600.001 -700,000","500,000-1,000,000",23596,16839,40435,26148537030
"700.001 -800,000","500,000-1,000,000",16493,10899,27392,20461768031
"800.001 -900,000","500,000-1,000,000",11806,7627,19433,16461087631
"900,001-1,000,000","500,000-1,000,000",9283,5385,14668,13912575485
"> 1,000.000","> 1,000.000",43608,20217,63825,109405660341
