,City,Country
0,London,United Kingdom
1,Paris,France
2,New York,United States of America
3,Moscow,Russia
4,Dubai,United Arab Emirates
5,Tokyo,Japan
6,Singapore,Singapore
7,Los Angeles,United States of America
8,Barcelona,Spain
9,Madrid,Spain
10,Rome,Italy
11,Doha,Qatar
12,Chicago,United States of America
13,Abu Dhabi,United Arab Emirates
14,San Francisco,United States of America
15,Amsterdam,Netherlands
16,St. Petersburg,Russia
17,Toronto,Canada
18,Sydney,Australia
19,Berlin,Germany
20,Las Vegas,United States of America
21,Washington DC,United States of America
22,Istanbul,Turkey
23,Vienna,Austria
24,Beijing,China
25,Prague,Czech Republic
26,Milan,Italy
27,San Diego,United States of America
28,Hong Kong,Hong Kong
29,Melbourne,Australia
30,Boston,United States of America
31,Houston,United States of America
32,Dublin,Ireland
33,Miami,United States of America
34,Zurich,Switzerland
35,Seattle,United States of America
36,Budapest,Hungary
37,SaoPaulo,Brazil
38,Munich,Germany
39,Bangkok,Thailand
40,Orlando,United States of America
41,Seoul,South Korea
42,Atlanta,United States of America
43,Dallas,United States of America
44,Frankfurt,Germany
45,Vancouver,Canada
46,Austin,United States of America
47,Montréal,Canada
48,Calgary,Canada
49,Delhi,India
50,Lisbon,Portugal
51,Naples,Italy
52,Osaka,Japan
53,SanJose,United States of America
54,Riyadh,Saudi Arabia
55,Denver,United States of America
56,Philadelphia,United States of America
57,TelAviv,Israel
58,Copenhagen,Denmark
59,Brussels,Belgium
60,Brisbane,Australia
61,Valencia,Spain
62,BuenosAires,Argentina
63,Taipei,Taiwan
64,Rio de Janeiro,Brazil
65,Portland,United States of America
66,Hamburg,Germany
67,Kuwait,Kuwait
68,Warsaw,Poland
69,Athens,Greece
70,Perth,Australia
71,Helsinki,Finland
72,Minneapolis,United States of America
73,Oslo,Norway
74,Shanghai,China
75,Phoenix,United States of America
76,Auckland,New Zealand
77,New Orleans,United States of America
78,Jerusalem,Israel
79,Muscat,Oman
80,Nashville,United States of America
81,Stockholm,Sweden
82,Santiago,Chile
83,Ottawa,Canada
84,Baltimore,United States of America
85,Edmonton,Canada
86,Lyon,France
87,Marseille,France
88,Adelaide,Australia
89,Goteborg,Sweden
90,Bilbao,Spain
91,Mexico City,Mexico
92,SaltLake City,United States of America
93,Mumbai,India
94,Sacramento,United States of America
95,San Antonio,United States of America
96,Tucson,United States of America
97,Seville,Spain
98,Charlotte,United States of America
99,Nanjing,China
